year,month,hour,weekday,crashes,fatal,serious
2023,5,19,3,176,0,35
2023,5,19,4,198,0,32
2023,5,19,5,217,3,47
2023,5,19,6,142,1,29
2023,5,19,7,139,2,27
2023,5,20,1,87,1,21
2023,5,20,2,113,2,21
2023,5,20,3,115,0,22
2023,5,20,4,133,3,23
2023,5,20,5,122,3,26
2023,5,20,6,111,0,24
2023,5,20,7,133,2,31
2023,5,21,1,67,0,15
2023,5,21,2,81,0,15
2023,5,21,3,98,0,10
2023,5,21,4,81,0,15
2023,5,21,5,82,2,24
2023,5,21,6,98,1,15
2023,5,21,7,90,1,19
2023,5,22,1,64,2,13
2023,5,22,2,67,1,13
2023,5,22,3,68,2,14
2023,5,22,4,65,1,15
2023,5,22,5,76,1,19
2023,5,22,6,76,1,22
2023,5,22,7,87,1,19
2023,5,23,1,28,0,5
2023,5,23,2,43,2,12
2023,5,23,3,29,1,9
2023,5,23,4,49,1,11
2023,5,23,5,50,1,12
2023,5,23,6,52,0,15
2023,5,23,7,66,0,12
2023,6,0,1,77,0,22
2023,6,0,2,18,0,6
2023,6,0,3,23,0,6
2023,6,0,4,22,2,2
2023,6,0,5,53,1,10
2023,6,0,6,43,0,8
2023,6,0,7,69,2,14
2023,6,1,1,70,1,21
2023,6,1,2,9,0,2
2023,6,1,3,18,0,5
2023,6,1,4,16,0,7
2023,6,1,5,37,0,10
2023,6,1,6,35,1,8
2023,6,1,7,67,2,15
2023,6,2,1,54,3,11
2023,6,2,2,8,0,1
2023,6,2,3,10,0,0
2023,6,2,4,15,0,6
2023,6,2,5,17,0,2
2023,6,2,6,21,0,5
2023,6,2,7,46,1,12
2023,6,3,1,51,1,12
2023,6,3,2,10,0,3
2023,6,3,3,7,0,1
2023,6,3,4,8,0,1
2023,6,3,5,17,0,3
2023,6,3,6,18,0,3
2023,6,3,7,34,1,10
2023,6,4,1,43,0,13
2023,6,4,2,8,0,2
2023,6,4,3,17,0,5
2023,6,4,4,10,0,3
2023,6,4,5,19,1,4
2023,6,4,6,16,0,4
2023,6,4,7,25,2,9
2023,6,5,1,28,0,6
2023,6,5,2,49,0,13
2023,6,5,3,45,1,10
2023,6,5,4,44,0,9
2023,6,5,5,48,0,6
2023,6,5,6,49,0,13
2023,6,5,7,27,1,8
2023,6,6,1,33,1,7
2023,6,6,2,124,1,18
2023,6,6,3,117,1,22
2023,6,6,4,126,0,18
2023,6,6,5,123,0,18
2023,6,6,6,109,1,17
